All words:
stulm 12832857 989.2735892691952

2000 word sample
stulm 1942359 971.1795
grigs 2416431 1208.2155
carns 1090505 545.2525
halls 2115236 1057.618
exact 2424981 1212.4905

1000 word sample
stulm 1015243 1015.243
grigs 1153963 1153.963
carns 516048 516.048
halls 963144 963.144
exact 1217457 1217.457

300 word sample
stulm 309717 1032.39
grigs 350237 1167.4566666666667
carns 159801 532.67
halls 306846 1022.82
exact 376652 1255.5066666666667

300 word sample
stulm 221484 1107.42
grigs 262637 1313.185
carns 113283 566.415
halls 177617 888.085
exact 261239 1306.195


100 word sample
(~10% variation)

stulm 99279 992.79
grigs 135462 1354.62
carns 50662 506.62
halls 102097 1020.97
exact 123913 1239.13

stulm 112382 1123.82
grigs 119462 1194.62
carns 57500 575.0
halls 102537 1025.37
exact 105103 1051.03

stulm 121186 1211.86
grigs 105633 1056.33
carns 48587 485.87
halls 105770 1057.7
exact 131969 1319.69

50 word sample
stulm 58452 1169.04
grigs 59172 1183.44
carns 24298 485.96
halls 53841 1076.82
exact 60870 1217.4

20 word sample -- too wild
stulm 18756 937.8
grigs 24619 1230.95
carns 13042 652.1
halls 17475 873.75
exact 30709 1535.45

